run_id	commit	audit_score	regression	findings	tool_pct	vectors	forge_tests	wall_time_s	status	description
run-2026-03-14T03-51-02Z	c31b730	13.9	0/4	0	25	80	22	729	keep	baseline run 2 — fix synthesis + stop_reason, inline tool checkpoints + MCP propagation pending
run-2026-03-14T05-04-01Z	9632b2d	16.6	0/4	0	100	16	0	0	keep	system+prompt: MCP propagation (setting_sources) + inline tool checkpoints in preamble
run-2026-03-14T05-04-01Z	9632b2d	21.7	0/4	0	100	67	0	0	keep	system fix: accept agent as alias for agent_name in schema validation
run-2026-03-14T12-06-26Z	9632b2d	16.7	0/4	0	45	97	2	0	discard	prompt: regression seeding (4 known bugs) + system: sidecar list/agent_name fixes
run-2026-03-14T14-07-40Z	f386a15	200.6	4/4	2	83	70	12	1422	keep	system: regression fuzzy matching + ruled_out schema with contracts/keywords/functions
run-2026-03-14T14-53-38Z	d24bc08	70.0	2/4	0	91	48	16	1336	discard	docs: updated CODEBASE_MAP.md with orchestrator pipeline + template composition
run-2026-03-14T15-20-41Z	3b630d0	120.6	4/4	0	83	54	27	1045	discard	prompt: mandatory regression checkpoint with exact sidecar fields for KV-1 through KV-4
run-2026-03-14T19-46-50Z	4c87481	116.5	4/4	0	66	55	11	808	discard	system: flat-path sidecar fallback + SDK usage capture + mandatory regression checkpoint
run-2026-03-14T20-23-16Z	e46eb58	128.2	4/4	0	75	89	80	1468	discard	deep specialization: math-deep-diver + cross-boundary + composability-exploiter + wave 2 auto-chain
run-2026-03-14T22-05-52Z	3a17cc8	127.2	4/4	0	66	91	82	1064	discard	82-item exhaustive checklist with per-archetype split
